_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4752,13466931.0,University Ave,Adelaide St W,75,314032.155,4834331.504,-79.38555600000001,43.648869,75,"{u'type': u'Point', u'coordinates': (-79.3855560014, 43.6488690023)}",,,,2017-10-20T04:00:00,,ADELAIDE ST W,UNIVERSITY AVE,ADELAIDE ST W,75,,78,,52,Spadina-Fort York(10),,,,University Ave And Adelaide St W,Toronto and East York,6081,UNIVERSITY AVE
4753,13460075.0,Dixon Rd,Martin Grove Rd,76,299089.577,4839073.877,-79.570838,43.691592,76,"{u'type': u'Point', u'coordinates': (-79.5708379982, 43.6915920028)}",,,,2017-07-10T04:00:00,,MARTIN GROVE RD,DIXON RD,MARTIN GROVE RD,76,,437,,23,Etobicoke North(1),,Etobicoke Centre(2),,Dixon Rd And Martin Grove Rd,Etobicoke York,6082,DIXON RD
4754,13466604.0,University Ave,Queen St W,77,313945.376,4834551.685,-79.386628,43.650852,77,"{u'type': u'Point', u'coordinates': (-79.3866280047, 43.6508519992)}",,,,2017-08-31T04:00:00,,QUEEN ST W,UNIVERSITY AVE,QUEEN ST W,77,,80,,52,Spadina-Fort York(10),,,,University Ave And Queen St W,Toronto and East York,6083,UNIVERSITY AVE
4755,13454197.0,Keele St,Wilson Ave,78,306244.619,4842965.49,-79.482069,43.726642,78,"{u'type': u'Point', u'coordinates': (-79.4820690045, 43.7266419991)}",,,,2017-10-20T04:00:00,,WILSON AVE,KEELE ST,WILSON AVE,78,,597,,31,York Centre(6),,,,Keele St And Wilson Ave,North York,6084,KEELE ST
4756,13468307.0,Lake Shore Blvd W,Spadina Ave,79,313495.591,4833173.627,-79.39222600000001,43.638453000000005,79,"{u'type': u'Point', u'coordinates': (-79.3922259987, 43.6384530046)}",,52.0,,2017-08-08T04:00:00,LOWER SPADINA AVE,SPADINA AVE,LAKE SHORE BLVD W,SPADINA AVE,79,,215,E/B LAKE SHORE BLVD,14,Spadina-Fort York(10),,,,Lake Shore Blvd W And Spadina Ave / Lower Spadina Ave,Toronto and East York,6085,LAKE SHORE BLVD W
4757,13469683.0,Lake Shore Blvd W,Park Lawn Rd,80,306316.352,4831447.866,-79.481211,43.622968,80,"{u'type': u'Point', u'coordinates': (-79.4812110097, 43.6229680112)}",,,,2017-10-06T04:00:00,MARINE PARADE DR,PARK LAWN RD,LAKE SHORE BLVD W,PARK LAWN RD,80,,230,,22,Etobicoke-Lakeshore(3),,,,Lake Shore Blvd W And Park Lawn Rd / Marine Parade Dr,Etobicoke York,6086,LAKE SHORE BLVD W
4758,13447964.0,Sheppard Ave E,Bayview Ave,81,313812.825,4847409.384,-79.388056,43.766589,81,"{u'type': u'Point', u'coordinates': (-79.3880560012, 43.7665890046)}",,32.0,,2017-07-14T04:00:00,,BAYVIEW AVE,SHEPPARD AVE E,BAYVIEW AVE,81,,648,,33,Willowdale(18),,Don Valley North(17),,Sheppard Ave E And Bayview Ave,North York,6087,SHEPPARD AVE E
4759,13447719.0,Steeles Ave W,Weston Rd,82,301054.333,4847814.5139999995,-79.546526,43.770281,82,"{u'type': u'Point', u'coordinates': (-79.5465260053, 43.770281001)}",,,,2017-10-30T04:00:00,,WESTON RD,STEELES AVE W,WESTON RD,82,,1289,,31,Humber River-Black Creek(7),,,,Steeles Ave W And Weston Rd,Etobicoke York,6088,STEELES AVE W
4760,13448786.0,Lawrence Ave E,Greencedar Crct,83,326293.49199999997,4846504.154,-79.23307700000001,43.758184,83,"{u'type': u'Point', u'coordinates': (-79.233076999, 43.7581840044)}",,,,2017-03-10T05:00:00,GREENBRAE CRCT,GREENCEDAR CRCT,LAWRENCE AVE E,GREENCEDAR CRCT,83,,419,,43,Scarborough-Guildwood(24),,,,Lawrence Ave E And Greencedar Crct / Greenbrae Crct,Scarborough,6089,LAWRENCE AVE E
4761,13443562.0,Finch Ave E,Birchmount Rd,84,320412.405,4851022.1280000005,-79.305981,43.798998,84,"{u'type': u'Point', u'coordinates': (-79.3059809952, 43.7989979995)}",,,,2017-03-10T05:00:00,,BIRCHMOUNT RD,FINCH AVE E,BIRCHMOUNT RD,84,,1138,,42,Scarborough-Agincourt(22),,,,Finch Ave E And Birchmount Rd,Scarborough,6090,FINCH AVE E
4762,13468751.0,Bloor St W,The East Mall,85,300224.4,4833000.238,-79.556709,43.636928999999995,85,"{u'type': u'Point', u'coordinates': (-79.5567089997, 43.636929001)}",,,,2017-12-19T05:00:00,,THE EAST MALL,BLOOR ST W,THE EAST MALL,85,,792,,22,Etobicoke Centre(2),,Etobicoke-Lakeshore(3),,Bloor St W And The East Mall,Etobicoke York,6092,BLOOR ST W
4763,13455040.0,Wilson Ave,Jane St,86,304104.332,4842329.125,-79.508634,43.720915000000005,86,"{u'type': u'Point', u'coordinates': (-79.5086339938, 43.720915002)}",,,,2017-03-09T05:00:00,,JANE ST,WILSON AVE,JANE ST,86,,532,,31,Humber River-Black Creek(7),,York Centre(6),,Wilson Ave And Jane St,Etobicoke York,6094,WILSON AVE
4764,13442867.0,Warden Ave,McNicoll Ave,87,319204.095,4851836.086,-79.320975,43.806349,87,"{u'type': u'Point', u'coordinates': (-79.3209749937, 43.8063490022)}",,,,2017-03-10T05:00:00,,MCNICOLL AVE,WARDEN AVE,MCNICOLL AVE,87,,1287,,42,Scarborough-Agincourt(22),,,,Warden Ave And Mcnicoll Ave,Scarborough,6095,WARDEN AVE
