,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Tam O'Shanter-Sullivan,"74,551","58,246","64,886","52,871"
The Beaches,"166,462","100,365","121,388","82,713"
Thorncliffe Park,"56,502","46,595","50,262","43,628"
University/Annex,"165,206","67,995","118,910","59,434"
Uxbridge,"124,982","98,910","99,170","84,987"
Victoria Village,"66,525","51,867","57,242","46,841"
Waterfront Communities -The Island,"104,994","78,479","80,760","65,912"
West Hill,"70,253","56,051","61,559","51,003"
West Humber-Clairville,"81,133","70,741","71,699","63,563"
Westminster-Branson,"68,984","54,101","60,308","49,867"
Weston,"60,230","45,696","52,849","42,405"
Wexford-Maryvale,"76,778","62,837","66,343","56,998"
Whitchurch/Stouffville,"130,938","102,507","104,529","87,436"
Willowdale East/Newtonbrook East,"87,345","61,725","70,555","54,818"
Willowdale West/Newtonbrook West,"79,752","56,942","66,362","51,139"
Willowridge-Martingrove-Richview,"92,341","71,584","76,777","63,848"
Woburn,"70,455","58,921","62,213","53,645"
Woodbine Corridor/Greenwood-Coxwell,"93,052","72,792","76,188","63,529"
Woodbine-Lumsden,"89,697","74,608","74,266","65,104"
Wychwood,"101,895","66,089","80,706","58,081"
Yonge-Eglinton,"150,401","80,896","110,037","67,160"
Yonge-St. Clair,"175,692","80,136","124,099","66,467"
Yorkdale-Glen Park,"82,802","63,778","70,717","57,188"
