,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,Neighbourhood_x,"Population, 2016",Home Prices,Social Housing as a Percentage of Households,Social Housing Waitlist as a Percentage of Social Housing,Census Residents per Private dwellings,Percentage of Housing Single-detached,Percentage of Housing Apartments,Percentage of Housing Attached,Percentage of 1-person Households,Percentage of 2-person Households,Percentage of 3-person or More Households,Percentage of Households with Income < 10k,Percentage of Households with Income < 20k,Percentage of Households with Income < 30k,Percentage of Households with Income > 150k,Percentage of Households with Income > 200k,Percentage of Unsuitable Housing,Percentage of Dwellings Built in 1960 or Before,Percentage of Dwellings Built in 1990 or Before,Percentage of Dwellings Built in 2005 or Before,Percentage of Dwellings Built in 1991 or After,Percentage of Dwellings Built in 2006 or After,Percentage of Dwellings Requiring Only Regular Maintenance or Minor Repairs,Percentage of Households with Maintainer aged 34 and under,Percentage of Households with Maintainer aged 65 and older,Percentage of Households Spending over 30% of Income on Shelter,Speeding,Income Group
10,Flemingdon Park,44,693.0,36.5,72.9,0.0,59.3,13.7,145.9,46554.0,56784.0,0.0,,Flemingdon Park,21933.0,204104.0,9.003013561024611,1.591352859135286,2.7540180813661475,0.0,90.29374201787995,9.578544061302683,25.223499361430395,26.053639846743295,48.85057471264368,5.108556832694764,14.687100893997446,26.69220945083014,4.086845466155811,1.3409961685823755,0.2835249042145594,12.579821200510855,87.03703703703704,98.53128991060025,12.899106002554278,1.40485312899106,89.33588761174968,15.134099616858238,24.521072796934867,44.95530012771392,16.0,50-75K
11,Corso Italia-Davenport,92,672.2,106.1,275.9,0.0,198.1,42.5,215.8,63149.0,75651.0,0.0,,Corso Italia-Davenport,14133.0,502819.0,1.5754700999491784,2.827956989247312,2.3942063357614773,22.56596906278435,40.67333939945405,36.578707916287534,23.406193078324225,32.60473588342441,44.1712204007286,3.8251366120218577,9.65391621129326,17.941712204007285,14.754098360655737,5.919854280510018,0.08802177858439202,71.32486388384756,91.19782214156079,95.09981851179673,8.802177858439201,4.900181488203267,92.7338782924614,20.5989110707804,22.595281306715062,32.09090909090909,4.0,75-100K
12,Ionview,125,579.1,58.6,139.3,0.0,80.6,14.7,145.38,46955.0,55996.0,0.0,,Ionview,13641.0,330109.0,6.25,1.1837349397590362,2.5679593373493974,19.729206963249517,60.928433268858804,19.342359767891683,25.338491295938105,30.270793036750483,44.58413926499033,4.162633107454018,12.97192642787996,23.330106485963213,4.937076476282672,1.3552758954501452,0.2253384912959381,43.852855759922555,90.9970958373669,98.83833494675702,8.809293320425944,0.968054211035818,90.90029041626332,15.473887814313347,22.53384912959381,33.43023255813954,,50-75K
13,Junction Area,90,591.7,215.8,292.4,0.0,97.5,55.7,208.85,60789.0,75849.0,1.0,1.0,Junction Area,14366.0,532997.0,0.9174311926605505,5.813559322033898,2.233867205722283,12.271973466003317,53.565505804311776,34.24543946932007,33.001658374792704,30.845771144278608,36.23548922056385,3.9768019884009944,11.101905550952775,18.47555923777962,16.652858326429165,7.787903893951947,0.06716417910447761,58.92116182572614,73.3609958506224,86.72199170124482,26.721991701244814,13.360995850622407,94.68879668049793,22.30514096185738,15.505804311774462,32.55813953488372,27.0,75-100K
14,Broadview North,57,669.6,26.1,217.4,0.0,87.0,8.7,168.13,45969.0,63673.0,0.0,,Broadview North,11499.0,518555.0,4.094975911906401,1.3697478991596639,1.9784927735719202,15.00441306266549,73.08031774051192,11.827007943512799,43.07149161518094,30.89143865842895,25.94880847308032,4.501323918799647,14.386584289496911,25.59576345984113,10.944395410414828,5.648720211827008,0.15092674315975288,40.68843777581642,88.96734333627538,95.32215357458075,10.85613415710503,4.501323918799647,88.87908208296558,18.197879858657245,22.968197879858657,40.229885057471265,21.0,50-75K
15,Princess-Rosethorn,10,244.3,262.4,307.7,0.0,135.7,27.1,162.87,114844.0,174858.0,1.0,1.0,Princess-Rosethorn,11051.0,971668.0,0.0,inf,2.792066700353714,85.36269430051813,11.787564766839377,2.849740932642487,14.489003880983182,32.21216041397154,53.42820181112548,1.16580310880829,3.238341968911917,6.347150259067358,46.24352331606217,32.90155440414508,0.025906735751295335,56.27425614489004,87.19275549805951,92.6261319534282,12.289780077619664,6.85640362225097,94.17098445595855,3.8910505836575875,30.4798962386511,19.455252918287936,2.0,150-175K
16,North Riverdale,68,663.0,176.2,360.9,0.0,176.2,42.0,236.38,80260.0,116136.0,0.0,,North Riverdale,11916.0,818592.0,3.0719939690915945,0.9877300613496932,2.2457595175273277,16.283716283716284,43.15684315684316,40.35964035964036,33.03393213572854,30.838323353293415,36.02794411177645,3.3966033966033966,9.390609390609391,16.083916083916083,30.969030969030968,21.07892107892108,0.03896103896103896,77.24550898203593,97.2055888223553,99.00199600798403,3.093812375249501,1.2974051896207586,92.9070929070929,15.984015984015985,20.87912087912088,26.152304609218437,22.0,100-125K
17,Etobicoke West Mall,13,430.5,84.4,67.5,16.9,84.4,50.6,122.38,56010.0,68531.0,0.0,,Etobicoke West Mall,11848.0,298426.0,2.094351597207531,1.505050505050505,2.5064522953247304,21.046892039258452,70.11995637949836,8.61504907306434,28.02617230098146,29.770992366412212,42.20283533260633,3.489640130861505,9.814612868047982,17.993456924754636,9.814612868047982,3.271537622682661,0.14612868047982552,23.689956331877728,86.79039301310044,89.19213973799127,13.427947598253276,11.026200873362445,93.020719738277,16.357688113413303,23.555070883315157,37.00873362445415,1.0,50-75K
18,Forest Hill North,102,304.5,203.0,296.7,0.0,148.4,15.6,161.37,61596.0,132000.0,1.0,,Forest Hill North,12806.0,957688.0,5.618948824343015,0.5692307692307692,2.214038727524205,26.972477064220183,70.0,2.8440366972477062,35.41284403669725,28.623853211009173,35.77981651376147,3.944954128440367,11.559633027522937,20.0,24.03669724770642,18.807339449541285,0.1423324150596878,48.852157943067034,92.28650137741047,97.97979797979798,7.988980716253444,2.295684113865932,93.20477502295684,15.059687786960515,25.160697887970617,35.7208448117539,5.0,125-150K
19,Glenfield-Jane Heights,25,1128.2,282.1,124.6,6.6,164.0,39.4,290.82,46475.0,57069.0,0.0,1.0,Glenfield-Jane Heights,30491.0,304262.0,15.225942626882855,0.5979836168872086,2.9253573827113115,4.187689202825429,45.96367305751766,50.10090817356206,19.697732997481108,24.282115869017634,55.869017632241814,2.469758064516129,11.643145161290322,24.193548387096776,5.544354838709677,1.4112903225806452,0.23084677419354838,20.262096774193548,93.59879032258064,98.63911290322581,6.149193548387097,1.1088709677419355,89.15784165405951,11.743951612903226,29.6875,33.148335015136226,37.0,50-75K
20,Greenwood-Coxwell,65,894.8,173.4,332.9,0.0,69.4,34.7,250.87,57853.0,78089.0,1.0,1.0,Greenwood-Coxwell,14417.0,490920.0,14.263541828340834,0.41893362350380847,2.237622225671271,15.950413223140496,47.52066115702479,36.446280991735534,32.28736581337738,29.72749793559042,37.9851362510322,4.789430222956234,15.028901734104046,24.112303881090007,17.423616845582163,7.762180016515277,0.07927332782824112,64.0495867768595,91.5702479338843,97.10743801652893,8.429752066115702,2.8925619834710745,89.26507018992568,17.617866004962778,18.527708850289496,32.615894039735096,3.0,75-100K
21,Guildwood,140,282.3,30.3,100.8,10.1,70.6,10.1,84.03,76055.0,96885.0,0.0,,Guildwood,9917.0,444309.0,0.0,inf,2.452274975272008,54.51127819548872,29.69924812030075,15.538847117794486,28.07017543859649,33.583959899749374,38.34586466165413,1.5037593984962405,4.010025062656641,10.275689223057643,21.303258145363408,10.275689223057643,0.03759398496240601,25.56390977443609,86.2155388471178,97.86967418546367,13.659147869674186,2.0050125313283207,96.37046307884856,6.265664160401003,40.225563909774436,24.06015037593985,7.0,75-100K
22,Trinity-Bellwoods,81,767.1,151.0,664.4,0.0,145.0,24.2,291.95,56368.0,81093.0,1.0,,Trinity-Bellwoods,16556.0,723909.0,0.5554086220576567,6.214285714285714,2.189367892092039,5.5756698044895,53.29471397538016,41.20202751629254,31.164135936370208,33.98409255242227,34.63485177151121,4.124457308248915,10.781476121562953,18.885672937771346,19.247467438494933,10.5643994211288,0.05788712011577424,73.18840579710145,89.92753623188406,95.14492753623189,10.289855072463768,5.072463768115942,92.54163649529326,33.550253073029644,19.667389732465654,36.14545454545455,13.0,75-100K
23,Victoria Village,43,753.9,102.8,342.7,5.7,80.0,28.6,218.95,47529.0,60141.0,0.0,,Victoria Village,17510.0,365107.0,11.78259719650886,0.5151515151515151,2.3155249933879927,16.857720836142953,71.40930546190155,11.665542818610923,35.76248313090419,28.879892037786774,35.4251012145749,5.195681511470985,16.261808367071524,27.125506072874494,7.624831309041835,3.2388663967611335,0.15104517869184086,29.959514170040485,82.25371120107962,97.0310391363023,17.74628879892038,2.968960863697706,93.58974358974359,13.081591368846931,28.18610923803102,38.108108108108105,56.0,50-75K
24,Waterfront Communities-The Island,77,1280.5,92.5,509.8,1.5,144.1,110.8,356.53,69107.0,89892.0,19.0,6.0,Waterfront Communities-The Island,65913.0,416759.0,8.451778262619415,0.16842105263157894,1.3961956406617382,0.6256133464180569,97.64474975466143,1.717369970559372,54.061349693251536,35.50920245398773,10.441717791411042,6.564417177914111,12.650306748466258,18.441717791411044,18.085889570552148,9.447852760736197,0.07251533742331288,1.7298490982701509,16.844558949822108,41.68813642497853,83.14317261685683,58.29959514170041,97.76741903827282,54.20296968953246,7.829181494661921,40.67044614246981,53.0,75-100K
25,West Hill,136,1573.5,164.3,284.8,7.3,259.2,14.6,383.95,49713.0,63461.0,1.0,1.0,West Hill,27392.0,308229.0,20.24617173870905,0.34705600765916705,2.6547780577631324,32.248372558838255,41.26189283925889,26.639959939909865,27.991987981972958,25.338007010515774,46.820230345518276,5.307961942914371,17.42613920881322,27.190786179268905,8.662994491737606,3.0045067601402105,0.12224448897795591,22.595190380761522,85.42084168336673,94.93987975951904,14.529058116232465,5.01002004008016,88.47695390781563,11.116675012518778,26.28943415122684,32.397191574724175,5.0,50-75K
26,West Humber-Clairville,1,795.5,1446.9,396.3,6.0,210.1,189.1,507.32,66241.0,76228.0,1.0,6.0,West Humber-Clairville,33312.0,317508.0,8.619284744228157,0.5850840336134454,3.016025350837483,37.60932944606414,28.668610301263364,33.624878522837705,17.509727626459146,23.638132295719846,58.900778210116734,3.5002430724355857,8.264462809917354,15.508021390374331,10.354885755955275,3.0140982012639768,0.174356483729966,14.778804083616917,67.71998055420515,88.72143898881866,32.42586290714633,11.424404472532816,95.09232264334305,15.89693728731162,24.35585804569762,31.84031158714703,99.0,75-100K
27,Westminster-Branson,35,441.5,129.4,144.6,0.0,53.3,7.6,129.4,45888.0,63719.0,0.0,1.0,Westminster-Branson,26274.0,372380.0,5.069829730246796,2.0320754716981133,2.5132963458963076,8.508557457212714,80.09779951100245,11.442542787286063,26.868588177821202,30.288226673180265,43.087445041524184,4.005862237420615,15.583781143136298,26.868588177821202,7.474352711284807,2.9799706888128967,0.17750611246943765,9.872922776148583,88.51417399804497,97.45845552297165,11.33919843597263,2.3949169110459434,91.04696673189824,11.388074291300098,31.573802541544477,46.1764705882353,13.0,50-75K
28,Kennedy Park,124,1308.2,140.2,239.4,5.8,157.7,35.0,314.38,44226.0,54737.0,0.0,,Kennedy Park,17123.0,293600.0,24.12490922294844,0.325105358217941,2.4870007262164124,27.43161094224924,53.64741641337386,18.768996960486323,30.441400304414003,26.40791476407915,43.37899543378995,4.714828897338403,17.186311787072242,28.897338403041825,6.007604562737643,1.7490494296577948,0.1452471482889734,38.06990881458967,85.56231003039514,98.10030395136778,14.285714285714286,1.7477203647416413,90.49429657794677,11.187214611872147,23.439878234398783,35.49124143183549,11.0,50-75K
29,Kingsview Village-The Westway,6,413.6,181.8,113.6,0.0,68.2,9.1,131.05,55454.0,71539.0,1.0,1.0,Kingsview Village-The Westway,22000.0,292861.0,4.4981002573844835,1.8065395095367847,2.696408873636475,27.9383429672447,63.969171483622354,7.89980732177264,22.60757867694284,29.35131663455363,48.1053307642903,2.697495183044316,8.606294155427104,18.368657675016056,10.0834938985228,4.238921001926783,0.20616570327552985,27.37789203084833,93.63753213367609,99.3573264781491,6.362467866323907,0.6426735218508998,91.25964010282776,12.733118971061094,28.810289389067524,35.11254019292605,3.0,50-75K
30,Bayview Woods-Steeles,49,342.1,136.8,152.0,7.6,38.0,15.2,115.28,70294.0,99835.0,0.0,1.0,Bayview Woods-Steeles,13154.0,784397.0,3.4729315628192032,1.0647058823529412,2.687231869254341,33.297872340425535,49.8936170212766,16.914893617021278,20.766773162939298,32.05537806176784,47.6038338658147,3.407880724174654,7.880724174653887,15.761448349307773,21.19275825346113,12.35356762513312,0.07127659574468086,8.51063829787234,90.2127659574468,97.44680851063829,9.361702127659575,2.127659574468085,93.81663113006397,7.446808510638298,39.680851063829785,38.675213675213676,6.0,75-100K
31,Clanton Park,33,540.3,255.0,267.1,0.0,103.2,24.3,198.32,61094.0,92945.0,1.0,2.0,Clanton Park,16472.0,605585.0,7.978491498328731,0.4663023679417122,2.3938381049266093,36.717557251908396,54.50381679389313,9.007633587786259,31.12128146453089,28.756674294431733,40.19832189168574,3.435114503816794,11.755725190839694,19.84732824427481,17.786259541984734,10.534351145038167,0.14569031273836766,34.58015267175573,61.52671755725191,77.17557251908397,38.47328244274809,22.82442748091603,95.0381679389313,17.709923664122137,23.51145038167939,34.14820473644003,14.0,75-100K
32,Keelesdale-Eglinton West,110,551.6,298.4,162.8,9.0,99.5,81.4,200.45,48667.0,59972.0,0.0,1.0,Keelesdale-Eglinton West,11058.0,373029.0,7.628415300546448,0.7191977077363897,2.4170491803278686,39.90442054958184,39.90442054958184,19.83273596176822,27.63157894736842,27.15311004784689,45.334928229665074,3.588516746411483,13.157894736842104,24.282296650717704,8.133971291866029,2.15311004784689,0.13261648745519714,44.68339307048984,80.28673835125448,94.8626045400239,19.71326164874552,5.137395459976105,93.18996415770609,13.038277511961722,27.99043062200957,36.1244019138756,23.0,50-75K
33,O'Connor-Parkview,54,781.8,155.3,289.2,0.0,80.3,37.5,224.02,54491.0,72779.0,0.0,1.0,O'Connor-Parkview,18675.0,538203.0,8.98483080513419,0.7445887445887446,2.4212368728121354,40.562248995983936,51.941097724230254,7.49665327978581,29.671801741460147,30.341594105827195,40.12056262558607,4.551539491298527,13.386880856760374,23.694779116465863,14.323962516733602,6.894243641231593,0.15127175368139223,53.851306095110516,87.94373744139317,97.38780977896852,12.391158740790354,2.9470864032150033,89.08238446081715,13.32886805090422,21.366376423308775,37.93565683646113,5.0,50-75K
34,Old East York,58,498.2,43.3,140.8,0.0,86.6,32.5,133.57,72230.0,91601.0,1.0,,Old East York,9233.0,581398.0,1.9696969696969697,1.4487179487179487,2.3315656565656564,58.57519788918206,25.725593667546175,15.831134564643799,29.722589167767502,30.779392338177015,39.76221928665786,3.5667107001321003,10.039630118890356,17.569352708058123,21.532364597093792,11.360634081902246,0.09498680738786279,72.29551451187335,92.4802110817942,96.3060686015831,7.519788918205805,3.6939313984168867,92.35836627140975,12.417437252311757,26.023778071334213,29.062087186261557,35.0,75-100K
35,Casa Loma,96,455.9,54.7,310.0,0.0,72.9,18.2,151.95,78152.0,175756.0,1.0,2.0,Casa Loma,10968.0,1083381.0,1.731527515858049,0.8613861386138614,1.8803360192010972,16.173752310536045,72.18114602587801,11.460258780036968,42.090656799259946,35.245143385753934,22.849213691026826,4.440333024976873,10.26827012025902,16.651248843663275,32.65494912118409,24.514338575393154,0.043478260869565216,51.940850277264325,85.12014787430684,90.0184842883549,14.87985212569316,9.981515711645102,92.97597042513863,19.500924214417743,33.17929759704251,36.87150837988827,3.0,175-200K
36,Kensington-Chinatown,78,2078.6,217.3,1549.2,0.0,256.3,206.2,717.93,40793.0,57175.0,2.0,1.0,Kensington-Chinatown,17945.0,477989.0,26.649563878912264,0.30073161340007704,1.8414571575166752,0.8004574042309891,86.44939965694682,12.750142938822185,46.85354691075515,29.519450800915333,23.398169336384438,10.469107551487415,27.57437070938215,38.443935926773456,8.810068649885583,4.176201372997712,0.09210526315789473,31.13909559244419,74.8712077847739,88.66628506010304,24.9570692615913,11.161991986262164,90.16018306636155,38.46594161419576,20.606754436176303,48.13325674899483,18.0,50-75K
37,Kingsway South,15,302.0,302.0,269.7,0.0,129.4,43.1,174.37,131047.0,226607.0,1.0,,Kingsway South,9271.0,941223.0,0.0,inf,2.498921832884097,64.43514644351464,31.380753138075313,4.184100418410042,23.743016759776538,33.659217877094974,42.45810055865922,1.8105849582172702,3.8997214484679668,7.381615598885793,50.41782729805014,38.99721448467967,0.015341701534170154,60.390516039051604,77.82426778242677,90.3765690376569,22.87308228730823,10.320781032078104,95.67642956764296,7.262569832402234,33.798882681564244,19.134078212290504,,225-250K
38,Runnymede-Bloor West Village,89,436.9,288.0,248.3,0.0,168.8,19.9,193.65,91230.0,122523.0,1.0,,Runnymede-Bloor West Village,10070.0,666204.0,0.1504890895410083,7.666666666666667,2.525708552796589,53.010471204188484,19.240837696335078,27.74869109947644,22.01834862385321,29.750982961992136,48.23066841415465,1.963350785340314,4.973821989528796,9.68586387434555,35.99476439790576,22.905759162303664,0.028795811518324606,86.91099476439791,97.12041884816755,98.42931937172774,2.8795811518324608,1.5706806282722514,93.59477124183006,13.089005235602095,20.418848167539267,21.073298429319372,2.0,100-125K
39,Forest Hill South,101,242.3,186.4,326.1,0.0,149.1,37.3,156.87,78269.0,226031.0,2.0,1.0,Forest Hill South,10732.0,1585984.0,4.352699420885485,0.23605150214592274,2.0048570894825333,34.04040404040404,62.121212121212125,3.5353535353535355,40.505050505050505,32.22222222222222,27.272727272727273,3.8383838383838382,9.191919191919192,15.858585858585858,36.06060606060606,29.595959595959595,0.034378159757330634,53.13131313131313,86.26262626262626,92.32323232323232,13.737373737373737,7.6767676767676765,93.42770475227502,18.806875631951467,30.535894843276036,33.333333333333336,12.0,225-250K
40,Henry Farm,53,540.6,146.3,235.3,0.0,44.5,89.0,175.95,52675.0,67979.0,0.0,,Henry Farm,15723.0,372110.0,0.0,inf,2.3657839301835693,7.776904948939513,84.99607227022781,7.148468185388845,28.144654088050313,31.21069182389937,40.801886792452834,9.897879025923016,17.596229379418695,26.551453260015712,7.776904948939513,3.613511390416339,0.2279874213836478,7.305577376276513,50.11783189316575,57.81618224666143,49.88216810683425,42.18381775333857,93.87274155538098,36.0062893081761,13.757861635220126,48.65930599369085,9.0,50-75K
41,Annex,95,943.5,98.3,694.5,3.3,101.6,137.6,329.8,57825.0,114333.0,7.0,,Annex,30526.0,993491.0,4.301728422331437,0.5956354300385109,1.6856811530178364,4.047693755883276,81.33040476937559,14.590524003765296,49.513343799058084,32.77864992150707,17.676609105180535,8.377784750549106,17.132099152808284,24.348917477251334,23.846877941637903,16.75556950109821,0.05023547880690738,43.3991846973973,78.26904985888993,88.71119473189087,21.60551897146441,11.163374098463468,92.53216190775024,35.14276749294007,21.65045497332915,40.64963733837906,15.0,100-125K
42,Caledonia-Fairbank,109,813.7,110.5,90.4,0.0,180.8,20.1,202.58,56115.0,67582.0,0.0,,Caledonia-Fairbank,9955.0,400532.0,0.40660736975857686,10.25,2.5298602287166454,45.59023066485753,29.986431478968793,24.287652645861602,22.690217391304348,29.21195652173913,48.233695652173914,3.260869565217391,9.103260869565217,18.070652173913043,9.51086956521739,2.1739130434782608,0.1358695652173913,59.10326086956522,88.04347826086956,97.28260869565217,11.956521739130435,2.717391304347826,92.2554347826087,16.57608695652174,21.059782608695652,29.931972789115648,,50-75K
43,Humber Heights-Westmount,8,319.7,182.7,173.5,0.0,18.3,45.7,123.32,60410.0,81291.0,0.0,1.0,Humber Heights-Westmount,10948.0,491396.0,15.700539779394509,0.23168908819133036,2.5693499178596575,40.628778718258765,52.35792019347038,7.376058041112454,29.020556227327692,31.559854897218862,39.177750906892385,1.9347037484885128,7.738814993954051,16.324062877871825,15.35671100362757,7.738814993954051,0.08695652173913043,28.41596130592503,82.95042321644499,92.38210399032648,17.04957678355502,7.617896009673519,94.07496977025393,8.333333333333334,35.990338164251206,32.04353083434099,19.0,75-100K
44,Roncesvalles,86,647.8,86.8,614.4,6.7,126.9,66.8,258.23,52154.0,78614.0,1.0,2.0,Roncesvalles,14974.0,581425.0,6.8583162217659135,0.8163672654690619,2.0498288843258043,9.796806966618288,64.36865021770681,25.616835994194485,39.2883079157589,30.428467683369643,30.501089324618736,5.3013798111837325,17.792302106027595,26.870007262164126,17.28395061728395,9.803921568627452,0.09361393323657474,70.079883805374,92.95570079883805,95.42483660130719,7.044299201161946,4.57516339869281,88.09005083514887,24.16545718432511,17.92452830188679,37.718023255813954,,75-100K
