,Cities,Median_Income,Average_Income
0,Agincourt North,60162.0,73512.0
1,Agincourt South-Malvern West,59013.0,73156.0
2,Alderwood,71585.0,85206.0
3,Annex,57825.0,114333.0
4,Banbury-Don Mills,70039.0,115944.0
5,Bathurst Manor,56563.0,76823.0
6,Bay Street Corridor,50363.0,84580.0
7,Bayview Village,67186.0,96809.0
8,Bayview Woods-Steeles,70294.0,99835.0
9,Bedford Park-Nortown,90934.0,176139.0
10,Beechborough-Greenbrook,41175.0,55939.0
11,Bendale,55786.0,66104.0
12,Birchcliffe-Cliffside,64701.0,90967.0
13,Black Creek,41878.0,51384.0
14,Blake-Jones,55411.0,76451.0
15,Briar Hill-Belgravia,53990.0,65688.0
16,Bridle Path-Sunnybrook-York Mills,208674.0,481497.0
17,Broadview North,45969.0,63673.0
18,Brookhaven-Amesbury,47040.0,59896.0
19,Cabbagetown-South St. James Town,60268.0,91174.0
20,Caledonia-Fairbank,56115.0,67582.0
21,Casa Loma,78152.0,175756.0
22,Centennial Scarborough,102864.0,119301.0
23,Church-Yonge Corridor,47195.0,65545.0
24,Clairlea-Birchmount,59224.0,72423.0
25,Clanton Park,61094.0,92945.0
26,Cliffcrest,68647.0,85355.0
27,Corso Italia-Davenport,63149.0,75651.0
28,Danforth,69640.0,85379.0
29,Danforth East York,70739.0,84265.0
30,Don Valley Village,56780.0,72457.0
31,Dorset Park,51724.0,62078.0
32,Dovercourt-Wallace Emerson-Junction,56997.0,70393.0
33,Downsview-Roding-CFB,47173.0,60018.0
34,Dufferin Grove,47843.0,64089.0
35,East End-Danforth,63526.0,85940.0
36,Edenbridge-Humber Valley,71646.0,126895.0
37,Eglinton East,46495.0,58035.0
38,Elms-Old Rexdale,50846.0,63201.0
39,Englemount-Lawrence,49762.0,82845.0
40,Eringate-Centennial-West Deane,80894.0,94644.0
41,Etobicoke West Mall,56010.0,68531.0
42,Flemingdon Park,46554.0,56784.0
43,Forest Hill North,61596.0,132000.0
44,Forest Hill South,78269.0,226031.0
45,Glenfield-Jane Heights,46475.0,57069.0
46,Greenwood-Coxwell,57853.0,78089.0
47,Guildwood,76055.0,96885.0
48,Henry Farm,52675.0,67979.0
49,High Park North,60879.0,83257.0
50,High Park-Swansea,72286.0,111391.0
51,Highland Creek,98087.0,111789.0
52,Hillcrest Village,64522.0,84085.0
53,Humber Heights-Westmount,60410.0,81291.0
54,Humber Summit,57786.0,68431.0
55,Humbermede,51959.0,61290.0
56,Humewood-Cedarvale,57140.0,92623.0
57,Ionview,46955.0,55996.0
58,Islington-City Centre West,66537.0,89289.0
59,Junction Area,60789.0,75849.0
60,Keelesdale-Eglinton West,48667.0,59972.0
61,Kennedy Park,44226.0,54737.0
62,Kensington-Chinatown,40793.0,57175.0
63,Kingsview Village-The Westway,55454.0,71539.0
64,Kingsway South,131047.0,226607.0
65,Lambton Baby Point,69525.0,131273.0
66,L'Amoreaux,53644.0,67279.0
67,Lansing-Westgate,70571.0,111214.0
68,Lawrence Park North,125667.0,188808.0
69,Lawrence Park South,127853.0,250437.0
70,Leaside-Bennington,102666.0,171367.0
71,Little Portugal,59886.0,73283.0
72,Long Branch,52771.0,73058.0
73,Malvern,57528.0,68011.0
74,Maple Leaf,57721.0,73197.0
75,Markland Wood,74376.0,102729.0
76,Milliken,60262.0,74319.0
